"geo_code","geo","time","values"
"IE","Ireland",1996,4.4
"IS","Iceland",1996,-2
"IT","Italy",1996,1
"LI","Liechtenstein",1996,1.5
"LT","Lithuania",1996,-6.5
"LU","Luxembourg",1996,8.3
"LV","Latvia",1996,-4.1
"ME","Montenegro",1996,-3
"MK","Former Yugoslav Republic of Macedonia, the",1996,2.2
"MT","Malta",1996,0.7
"NL","Netherlands",1996,1.4
"NO","Norway",1996,1.3
"PL","Poland",1996,-0.3
"PT","Portugal",1996,3.7
"RO","Romania",1996,-0.9
"RS","Serbia",1996,0.1
"RU","Russia",1996,3.5
"SE","Sweden",1996,0.7
"SI","Slovenia",1996,-1.7
"SK","Slovakia",1996,0.4
"TR","Turkey",1996,1.5
"UK","United Kingdom",1996,0.8
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",1996,-0.5
"AL","Albania",1997,-4
"AT","Austria",1997,0.2
"BA","Bosnia and Herzegovina",1997,-54.4
"BE","Belgium",1997,1
"BG","Bulgaria",1997,0
"CH","Switzerland",1997,-0.4
"CY","Cyprus",1997,7.2
"CZ","Czech Republic",1997,1.2
"DE","Germany (until 1990 former territory of the FRG)",1997,1.1
"DK","Denmark",1997,2.3
"EA18","Euro area (18 countries)",1997,1.4
"EA19","Euro area (19 countries)",1997,1.3
"EE","Estonia",1997,-4.9
"EL","Greece",1997,5.8
"ES","Spain",1997,3.8
"EU27","European Union (27 countries)",1997,1
"EU28","European Union (28 countries)",1997,1
"FI","Finland",1997,0.9
"HR","Croatia",1997,0.1
"HU","Hungary",1997,1.7
"IE","Ireland",1997,4.7
"IS","Iceland",1997,0.7
"IT","Italy",1997,0.9
"LI","Liechtenstein",1997,-0.9
"LT","Lithuania",1997,-6.3
"LU","Luxembourg",1997,8.6
"LV","Latvia",1997,-3.9
"ME","Montenegro",1997,-2.2
"MK","Former Yugoslav Republic of Macedonia, the",1997,-1
"MT","Malta",1997,1.5
"NL","Netherlands",1997,1.9
"NO","Norway",1997,2.2
"PL","Poland",1997,-0.3
"PT","Portugal",1997,4.1
"RO","Romania",1997,-0.6
"RS","Serbia",1997,-1.2
"RU","Russia",1997,3.6
"SE","Sweden",1997,0.7
"SI","Slovenia",1997,-0.7
"SK","Slovakia",1997,0.3
"TR","Turkey",1997,1.6
"UK","United Kingdom",1997,1
"AL","Albania",1998,-6.8
"AT","Austria",1998,1.1
"BA","Bosnia and Herzegovina",1998,34
"BE","Belgium",1998,1.2
"BG","Bulgaria",1998,0
"CH","Switzerland",1998,1.5
"CY","Cyprus",1998,6.2
"CZ","Czech Republic",1998,0.9
"DE","Germany (until 1990 former territory of the FRG)",1998,0.6
"DK","Denmark",1998,2.1
"EA18","Euro area (18 countries)",1998,1.3
"EA19","Euro area (19 countries)",1998,1.2
"EE","Estonia",1998,-4.7
"EL","Greece",1998,5.3
"ES","Spain",1998,3.9
"EU27","European Union (27 countries)",1998,1.1
"EU28","European Union (28 countries)",1998,1.1
"FI","Finland",1998,0.9
"FR","France",1998,0
"HR","Croatia",1998,-0.9
"HU","Hungary",1998,1.7
"IE","Ireland",1998,4.4
"IS","Iceland",1998,3.6
"IT","Italy",1998,0.7
"LI","Liechtenstein",1998,15.9
"LT","Lithuania",1998,-6.2
"LU","Luxembourg",1998,9
"LV","Latvia",1998,-2.4
"ME","Montenegro",1998,-2.6
"MK","Former Yugoslav Republic of Macedonia, the",1998,-1
"MT","Malta",1998,0.9
"NL","Netherlands",1998,2.8
"NO","Norway",1998,3
"PL","Poland",1998,-0.3
"PT","Portugal",1998,4.5
"RO","Romania",1998,-0.3
"RS","Serbia",1998,-0.9
"RU","Russia",1998,3
"SE","Sweden",1998,1.2
"SI","Slovenia",1998,-2.7
"SK","Slovakia",1998,0.2
"TR","Turkey",1998,1.5
"UK","United Kingdom",1998,1.7
"AL","Albania",1999,-110.8
"AT","Austria",1999,2.5
"BA","Bosnia and Herzegovina",1999,13.5
"BE","Belgium",1999,1.6
"BG","Bulgaria",1999,0
"CH","Switzerland",1999,3.5
"CY","Cyprus",1999,6.1
"CZ","Czech Republic",1999,0.9
"DE","Germany (until 1990 former territory of the FRG)",1999,2.5
"DK","Denmark",1999,1.8
"EA18","Euro area (18 countries)",1999,2.5
"EA19","Euro area (19 countries)",1999,2.4
"EE","Estonia",1999,20.2
"EL","Greece",1999,2.8
"ES","Spain",1999,3.9
"EU27","European Union (27 countries)",1999,1.9
"EU28","European Union (28 countries)",1999,1.9
"FI","Finland",1999,0.7
"FR","France",1999,2.6
"HR","Croatia",1999,-5.1
"HU","Hungary",1999,1.6
"IE","Ireland",1999,6.5
"IS","Iceland",1999,4.1
"IT","Italy",1999,0.6
"LI","Liechtenstein",1999,6.7
"LT","Lithuania",1999,-5.9
"LU","Luxembourg",1999,10.4
"LV","Latvia",1999,-1.7
"ME","Montenegro",1999,-17.3
"MK","Former Yugoslav Republic of Macedonia, the",1999,-0.8
"MT","Malta",1999,0.9
"NL","Netherlands",1999,2.8
"NO","Norway",1999,4.3
"PL","Poland",1999,-0.4
"PT","Portugal",1999,5.3
"RO","Romania",1999,-0.1
"RS","Serbia",1999,0.6
"RU","Russia",1999,1.9
"SE","Sweden",1999,1.5
"SI","Slovenia",1999,5.4
"SK","Slovakia",1999,0.3
"TR","Turkey",1999,1.2
"UK","United Kingdom",1999,2.3
"AL","Albania",2000,-9.8
"AT","Austria",2000,2.2
"BA","Bosnia and Herzegovina",2000,7.3
"BE","Belgium",2000,1.3
"BG","Bulgaria",2000,0
"CH","Switzerland",2000,3.3
"CY","Cyprus",2000,5.7
"CZ","Czech Republic",2000,-2.7
"DE","Germany (until 1990 former territory of the FRG)",2000,2
"DK","Denmark",2000,1.9
"EA18","Euro area (18 countries)",2000,2.4
"EA19","Euro area (19 countries)",2000,2.3
"EE","Estonia",2000,-2.3
"EL","Greece",2000,5.8
"ES","Spain",2000,3.9
"EU27","European Union (27 countries)",2000,1.8
"EU28","European Union (28 countries)",2000,1.7
"FI","Finland",2000,0.5
"FR","France",2000,2.7
"HR","Croatia",2000,-11.7
"HU","Hungary",2000,1.6
"IE","Ireland",2000,8.4
"IS","Iceland",2000,6.5
"IT","Italy",2000,0.9
"LI","Liechtenstein",2000,7.8
"LT","Lithuania",2000,-5.8
"LU","Luxembourg",2000,7.9
"LV","Latvia",2000,-6.9
"ME","Montenegro",2000,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2000,-1.2
"MT","Malta",2000,2.3
"NL","Netherlands",2000,3.6
"NO","Norway",2000,2.2
"PL","Poland",2000,-0.5
"PT","Portugal",2000,6.5
"RO","Romania",2000,-0.2
"RS","Serbia",2000,0.9
"RU","Russia",2000,2.5
"SE","Sweden",2000,2.7
"SI","Slovenia",2000,1.4
"SK","Slovakia",2000,-4.1
"TR","Turkey",2000,-46.8
"UK","United Kingdom",2000,2.4
"AL","Albania",2001,-5.7
"AT","Austria",2001,5.2
"BA","Bosnia and Herzegovina",2001,4.2
"BE","Belgium",2001,3.3
"BG","Bulgaria",2001,-29.5
"CH","Switzerland",2001,5.6
"CY","Cyprus",2001,6.6
"CZ","Czech Republic",2001,-1.4
"DE","Germany (until 1990 former territory of the FRG)",2001,3.3
"DK","Denmark",2001,2.2
"EA18","Euro area (18 countries)",2001,3.4
"EA19","Euro area (19 countries)",2001,3.3
"EE","Estonia",2001,-2.4
"EL","Greece",2001,4.8
"ES","Spain",2001,7.9
