citizen_code,geo_code,citizen,geo,values,TOTAL,NAT,FOR,EFTA_FOR,EU28_FOR
RU,DE,Russia,Germany (until 1990 former territory of the FRG),210346,82175684,73523726,8651958,47461,3801044
RW,DE,Rwanda,Germany (until 1990 former territory of the FRG),937,82175684,73523726,8651958,47461,3801044
SA,DE,Saudi Arabia,Germany (until 1990 former territory of the FRG),4837,82175684,73523726,8651958,47461,3801044
SB,DE,Solomon Islands,Germany (until 1990 former territory of the FRG),40,82175684,73523726,8651958,47461,3801044
SC,DE,Seychelles,Germany (until 1990 former territory of the FRG),184,82175684,73523726,8651958,47461,3801044
SD,DE,Sudan,Germany (until 1990 former territory of the FRG),8587,82175684,73523726,8651958,47461,3801044
SE,DE,Sweden,Germany (until 1990 former territory of the FRG),17605,82175684,73523726,8651958,47461,3801044
SG,DE,Singapore,Germany (until 1990 former territory of the FRG),1961,82175684,73523726,8651958,47461,3801044
SI,DE,Slovenia,Germany (until 1990 former territory of the FRG),27017,82175684,73523726,8651958,47461,3801044
SK,DE,Slovakia,Germany (until 1990 former territory of the FRG),47940,82175684,73523726,8651958,47461,3801044
SL,DE,Sierra Leone,Germany (until 1990 former territory of the FRG),2777,82175684,73523726,8651958,47461,3801044
SM,DE,San Marino,Germany (until 1990 former territory of the FRG),56,82175684,73523726,8651958,47461,3801044
SN,DE,Senegal,Germany (until 1990 former territory of the FRG),5344,82175684,73523726,8651958,47461,3801044
SO,DE,Somalia,Germany (until 1990 former territory of the FRG),23539,82175684,73523726,8651958,47461,3801044
SR,DE,Suriname,Germany (until 1990 former territory of the FRG),39,82175684,73523726,8651958,47461,3801044
ST,DE,São Tomé and Príncipe,Germany (until 1990 former territory of the FRG),32,82175684,73523726,8651958,47461,3801044
SV,DE,El Salvador,Germany (until 1990 former territory of the FRG),801,82175684,73523726,8651958,47461,3801044
SY,DE,Syria,Germany (until 1990 former territory of the FRG),419639,82175684,73523726,8651958,47461,3801044
SZ,DE,Swaziland,Germany (until 1990 former territory of the FRG),70,82175684,73523726,8651958,47461,3801044
TD,DE,Chad,Germany (until 1990 former territory of the FRG),681,82175684,73523726,8651958,47461,3801044
TG,DE,Togo,Germany (until 1990 former territory of the FRG),9194,82175684,73523726,8651958,47461,3801044
TH,DE,Thailand,Germany (until 1990 former territory of the FRG),54757,82175684,73523726,8651958,47461,3801044
TJ,DE,Tajikistan,Germany (until 1990 former territory of the FRG),2291,82175684,73523726,8651958,47461,3801044
TL,DE,Timor-Leste,Germany (until 1990 former territory of the FRG),4,82175684,73523726,8651958,47461,3801044
TM,DE,Turkmenistan,Germany (until 1990 former territory of the FRG),1886,82175684,73523726,8651958,47461,3801044
TN,DE,Tunisia,Germany (until 1990 former territory of the FRG),27245,82175684,73523726,8651958,47461,3801044
TO,DE,Tonga,Germany (until 1990 former territory of the FRG),47,82175684,73523726,8651958,47461,3801044
TR,DE,Turkey,Germany (until 1990 former territory of the FRG),1352151,82175684,73523726,8651958,47461,3801044
TT,DE,Trinidad and Tobago,Germany (until 1990 former territory of the FRG),396,82175684,73523726,8651958,47461,3801044
TV,DE,Tuvalu,Germany (until 1990 former territory of the FRG),34,82175684,73523726,8651958,47461,3801044
TW,DE,Taiwan,Germany (until 1990 former territory of the FRG),6367,82175684,73523726,8651958,47461,3801044
TZ,DE,Tanzania,Germany (until 1990 former territory of the FRG),1310,82175684,73523726,8651958,47461,3801044
UA,DE,Ukraine,Germany (until 1990 former territory of the FRG),122875,82175684,73523726,8651958,47461,3801044
UG,DE,Uganda,Germany (until 1990 former territory of the FRG),1684,82175684,73523726,8651958,47461,3801044
UK,DE,United Kingdom,Germany (until 1990 former territory of the FRG),97004,82175684,73523726,8651958,47461,3801044
US,DE,United States,Germany (until 1990 former territory of the FRG),104519,82175684,73523726,8651958,47461,3801044
UY,DE,Uruguay,Germany (until 1990 former territory of the FRG),619,82175684,73523726,8651958,47461,3801044
UZ,DE,Uzbekistan,Germany (until 1990 former territory of the FRG),7818,82175684,73523726,8651958,47461,3801044
VA,DE,Vatican City State,Germany (until 1990 former territory of the FRG),25,82175684,73523726,8651958,47461,3801044
VC,DE,Saint Vincent and the Grenadines,Germany (until 1990 former territory of the FRG),34,82175684,73523726,8651958,47461,3801044
VE,DE,Venezuela,Germany (until 1990 former territory of the FRG),4430,82175684,73523726,8651958,47461,3801044
VN,DE,Vietnam,Germany (until 1990 former territory of the FRG),75913,82175684,73523726,8651958,47461,3801044
VU,DE,Vanuatu,Germany (until 1990 former territory of the FRG),9,82175684,73523726,8651958,47461,3801044
WS,DE,Samoa,Germany (until 1990 former territory of the FRG),42,82175684,73523726,8651958,47461,3801044
XK,DE,Kosovo (under United Nations Security Council Resolution 1244/99),Germany (until 1990 former territory of the FRG),136447,82175684,73523726,8651958,47461,3801044
YE,DE,Yemen,Germany (until 1990 former territory of the FRG),3537,82175684,73523726,8651958,47461,3801044
ZA,DE,South Africa,Germany (until 1990 former territory of the FRG),4883,82175684,73523726,8651958,47461,3801044
ZM,DE,Zambia,Germany (until 1990 former territory of the FRG),394,82175684,73523726,8651958,47461,3801044
ZW,DE,Zimbabwe,Germany (until 1990 former territory of the FRG),1077,82175684,73523726,8651958,47461,3801044
AD,DK,Andorra,Denmark,0,5707251,5244104,463088,26520,189375
AE,DK,United Arab Emirates,Denmark,3,5707251,5244104,463088,26520,189375
AF,DK,Afghanistan,Denmark,10058,5707251,5244104,463088,26520,189375
AG,DK,Antigua and Barbuda,Denmark,2,5707251,5244104,463088,26520,189375
AI,DK,Anguilla (UK),Denmark,0,5707251,5244104,463088,26520,189375
AL,DK,Albania,Denmark,286,5707251,5244104,463088,26520,189375
AM,DK,Armenia,Denmark,399,5707251,5244104,463088,26520,189375
AN,DK,Former Netherlands Antilles,Denmark,0,5707251,5244104,463088,26520,189375
AO,DK,Angola,Denmark,60,5707251,5244104,463088,26520,189375
AR,DK,Argentina,Denmark,627,5707251,5244104,463088,26520,189375
AT,DK,Austria,Denmark,1379,5707251,5244104,463088,26520,189375
AU,DK,Australia,Denmark,1937,5707251,5244104,463088,26520,189375
AW,DK,Aruba (NL),Denmark,0,5707251,5244104,463088,26520,189375
AZ,DK,Azerbaijan,Denmark,275,5707251,5244104,463088,26520,189375
BA,DK,Bosnia and Herzegovina,Denmark,10712,5707251,5244104,463088,26520,189375
BB,DK,Barbados,Denmark,16,5707251,5244104,463088,26520,189375
BD,DK,Bangladesh,Denmark,1336,5707251,5244104,463088,26520,189375
BE,DK,Belgium,Denmark,1107,5707251,5244104,463088,26520,189375
BF,DK,Burkina Faso,Denmark,31,5707251,5244104,463088,26520,189375
BG,DK,Bulgaria,Denmark,8207,5707251,5244104,463088,26520,189375
BH,DK,Bahrain,Denmark,13,5707251,5244104,463088,26520,189375
BI,DK,Burundi,Denmark,387,5707251,5244104,463088,26520,189375
BJ,DK,Benin,Denmark,40,5707251,5244104,463088,26520,189375
BL,DK,Saint-Barthélemy (FR),Denmark,0,5707251,5244104,463088,26520,189375
BM,DK,Bermuda (UK),Denmark,0,5707251,5244104,463088,26520,189375
BN,DK,Brunei Darussalam,Denmark,2,5707251,5244104,463088,26520,189375
BO,DK,Bolivia,Denmark,83,5707251,5244104,463088,26520,189375
BQ,DK,"Bonaire, Saint Eustatius and Saba",Denmark,0,5707251,5244104,463088,26520,189375
BR,DK,Brazil,Denmark,2234,5707251,5244104,463088,26520,189375
BS,DK,Bahamas,Denmark,8,5707251,5244104,463088,26520,189375
BT,DK,Bhutan,Denmark,277,5707251,5244104,463088,26520,189375
BW,DK,Botswana,Denmark,14,5707251,5244104,463088,26520,189375
BY,DK,Belarus,Denmark,549,5707251,5244104,463088,26520,189375
BZ,DK,Belize,Denmark,4,5707251,5244104,463088,26520,189375
CA,DK,Canada,Denmark,2101,5707251,5244104,463088,26520,189375
CD,DK,Democratic Republic of the Congo,Denmark,1851,5707251,5244104,463088,26520,189375
CF,DK,Central African Republic,Denmark,16,5707251,5244104,463088,26520,189375
CG,DK,Congo,Denmark,590,5707251,5244104,463088,26520,189375
CH,DK,Switzerland,Denmark,1586,5707251,5244104,463088,26520,189375
CI,DK,Côte d'Ivoire,Denmark,312,5707251,5244104,463088,26520,189375
CL,DK,Chile,Denmark,677,5707251,5244104,463088,26520,189375
CM,DK,Cameroon,Denmark,741,5707251,5244104,463088,26520,189375
CN,DK,China (including Hong Kong),Denmark,9619,5707251,5244104,463088,26520,189375
CO,DK,Colombia,Denmark,834,5707251,5244104,463088,26520,189375
CR,DK,Costa Rica,Denmark,95,5707251,5244104,463088,26520,189375
CU,DK,Cuba,Denmark,382,5707251,5244104,463088,26520,189375
CV,DK,Cape Verde,Denmark,12,5707251,5244104,463088,26520,189375
CW,DK,Curaçao,Denmark,0,5707251,5244104,463088,26520,189375
CY,DK,Cyprus,Denmark,105,5707251,5244104,463088,26520,189375
CZ,DK,Czech Republic,Denmark,1399,5707251,5244104,463088,26520,189375
DE,DK,Germany (until 1990 former territory of the FRG),Denmark,23709,5707251,5244104,463088,26520,189375
DJ,DK,Djibouti,Denmark,19,5707251,5244104,463088,26520,189375
DM,DK,Dominica,Denmark,7,5707251,5244104,463088,26520,189375
DO,DK,Dominican Republic,Denmark,87,5707251,5244104,463088,26520,189375
DZ,DK,Algeria,Denmark,314,5707251,5244104,463088,26520,189375
EC,DK,Ecuador,Denmark,205,5707251,5244104,463088,26520,189375
EE,DK,Estonia,Denmark,1414,5707251,5244104,463088,26520,189375
EG,DK,Egypt,Denmark,836,5707251,5244104,463088,26520,189375
EH,DK,Western Sahara,Denmark,0,5707251,5244104,463088,26520,189375
EL,DK,Greece,Denmark,2360,5707251,5244104,463088,26520,189375
ER,DK,Eritrea,Denmark,3433,5707251,5244104,463088,26520,189375
ES,DK,Spain,Denmark,5984,5707251,5244104,463088,26520,189375
ET,DK,Ethiopia,Denmark,753,5707251,5244104,463088,26520,189375
FI,DK,Finland,Denmark,2798,5707251,5244104,463088,26520,189375
FJ,DK,Fiji,Denmark,8,5707251,5244104,463088,26520,189375
FK,DK,Falkland Islands (UK),Denmark,0,5707251,5244104,463088,26520,189375
FM,DK,Federated States of Micronesia,Denmark,0,5707251,5244104,463088,26520,189375
FO,DK,Faroes (DK),Denmark,0,5707251,5244104,463088,26520,189375
FR,DK,France,Denmark,6126,5707251,5244104,463088,26520,189375
GA,DK,Gabon,Denmark,4,5707251,5244104,463088,26520,189375
GD,DK,Grenada,Denmark,7,5707251,5244104,463088,26520,189375
GE,DK,Georgia,Denmark,135,5707251,5244104,463088,26520,189375
GG,DK,Guernsey,Denmark,0,5707251,5244104,463088,26520,189375
GH,DK,Ghana,Denmark,1417,5707251,5244104,463088,26520,189375
GI,DK,Gibraltar (UK),Denmark,0,5707251,5244104,463088,26520,189375
GL,DK,Greenland (DK),Denmark,0,5707251,5244104,463088,26520,189375
GM,DK,"Gambia, The",Denmark,460,5707251,5244104,463088,26520,189375
GN,DK,Guinea,Denmark,70,5707251,5244104,463088,26520,189375
GQ,DK,Equatorial Guinea,Denmark,3,5707251,5244104,463088,26520,189375
GT,DK,Guatemala,Denmark,74,5707251,5244104,463088,26520,189375
GW,DK,Guinea-Bissau,Denmark,37,5707251,5244104,463088,26520,189375
GY,DK,Guyana,Denmark,18,5707251,5244104,463088,26520,189375
HN,DK,Honduras,Denmark,73,5707251,5244104,463088,26520,189375
HR,DK,Croatia,Denmark,1389,5707251,5244104,463088,26520,189375
HT,DK,Haiti,Denmark,15,5707251,5244104,463088,26520,189375
HU,DK,Hungary,Denmark,4343,5707251,5244104,463088,26520,189375
ID,DK,Indonesia,Denmark,881,5707251,5244104,463088,26520,189375
IE,DK,Ireland,Denmark,1792,5707251,5244104,463088,26520,189375
IL,DK,Israel,Denmark,607,5707251,5244104,463088,26520,189375
IM,DK,Isle of Man,Denmark,0,5707251,5244104,463088,26520,189375
IN,DK,India,Denmark,7534,5707251,5244104,463088,26520,189375
IQ,DK,Iraq,Denmark,12586,5707251,5244104,463088,26520,189375
IR,DK,Iran,Denmark,7894,5707251,5244104,463088,26520,189375
IS,DK,Iceland,Denmark,8577,5707251,5244104,463088,26520,189375
IT,DK,Italy,Denmark,8131,5707251,5244104,463088,26520,189375
JE,DK,Jersey,Denmark,0,5707251,5244104,463088,26520,189375
JM,DK,Jamaica,Denmark,78,5707251,5244104,463088,26520,189375
JO,DK,Jordan,Denmark,817,5707251,5244104,463088,26520,189375
JP,DK,Japan,Denmark,1401,5707251,5244104,463088,26520,189375
KE,DK,Kenya,Denmark,783,5707251,5244104,463088,26520,189375
KG,DK,Kyrgyzstan,Denmark,41,5707251,5244104,463088,26520,189375
KH,DK,Cambodia,Denmark,147,5707251,5244104,463088,26520,189375
KI,DK,Kiribati,Denmark,0,5707251,5244104,463088,26520,189375
KM,DK,Comoros,Denmark,5,5707251,5244104,463088,26520,189375
KN,DK,Saint Kitts and Nevis,Denmark,2,5707251,5244104,463088,26520,189375
KP,DK,North Korea,Denmark,77,5707251,5244104,463088,26520,189375
KR,DK,South Korea,Denmark,543,5707251,5244104,463088,26520,189375
KW,DK,Kuwait,Denmark,27,5707251,5244104,463088,26520,189375
KY,DK,Cayman Islands (UK),Denmark,0,5707251,5244104,463088,26520,189375
KZ,DK,Kazakhstan,Denmark,139,5707251,5244104,463088,26520,189375
LA,DK,Laos,Denmark,35,5707251,5244104,463088,26520,189375
LB,DK,Lebanon,Denmark,1504,5707251,5244104,463088,26520,189375
LC,DK,Saint Lucia,Denmark,7,5707251,5244104,463088,26520,189375
LI,DK,Liechtenstein,Denmark,7,5707251,5244104,463088,26520,189375
LK,DK,Sri Lanka,Denmark,2702,5707251,5244104,463088,26520,189375
LR,DK,Liberia,Denmark,97,5707251,5244104,463088,26520,189375
LS,DK,Lesotho,Denmark,11,5707251,5244104,463088,26520,189375
LT,DK,Lithuania,Denmark,11480,5707251,5244104,463088,26520,189375
LU,DK,Luxembourg,Denmark,52,5707251,5244104,463088,26520,189375
LV,DK,Latvia,Denmark,4961,5707251,5244104,463088,26520,189375
LY,DK,Libya,Denmark,95,5707251,5244104,463088,26520,189375
MA,DK,Morocco,Denmark,2969,5707251,5244104,463088,26520,189375
MC,DK,Monaco,Denmark,0,5707251,5244104,463088,26520,189375
MD,DK,Moldova,Denmark,243,5707251,5244104,463088,26520,189375
ME,DK,Montenegro,Denmark,543,5707251,5244104,463088,26520,189375
MG,DK,Madagascar,Denmark,21,5707251,5244104,463088,26520,189375
MH,DK,Marshall Islands,Denmark,0,5707251,5244104,463088,26520,189375
MK,DK,"Former Yugoslav Republic of Macedonia, the",Denmark,3344,5707251,5244104,463088,26520,189375
ML,DK,Mali,Denmark,25,5707251,5244104,463088,26520,189375
MM,DK,Myanmar/Burma,Denmark,2211,5707251,5244104,463088,26520,189375
MN,DK,Mongolia,Denmark,52,5707251,5244104,463088,26520,189375
MR,DK,Mauritania,Denmark,7,5707251,5244104,463088,26520,189375
MS,DK,Montserrat (UK),Denmark,0,5707251,5244104,463088,26520,189375
MT,DK,Malta,Denmark,70,5707251,5244104,463088,26520,189375
MU,DK,Mauritius,Denmark,46,5707251,5244104,463088,26520,189375
MV,DK,Maldives,Denmark,8,5707251,5244104,463088,26520,189375
MW,DK,Malawi,Denmark,23,5707251,5244104,463088,26520,189375
MX,DK,Mexico,Denmark,851,5707251,5244104,463088,26520,189375
MY,DK,Malaysia,Denmark,417,5707251,5244104,463088,26520,189375
MZ,DK,Mozambique,Denmark,98,5707251,5244104,463088,26520,189375
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,DK,New Caledonia (FR),Denmark,0,5707251,5244104,463088,26520,189375
NE,DK,Niger,Denmark,6,5707251,5244104,463088,26520,189375
NG,DK,Nigeria,Denmark,1215,5707251,5244104,463088,26520,189375
NI,DK,Nicaragua,Denmark,98,5707251,5244104,463088,26520,189375
NL,DK,Netherlands,Denmark,7532,5707251,5244104,463088,26520,189375
NO,DK,Norway,Denmark,16350,5707251,5244104,463088,26520,189375
NP,DK,Nepal,Denmark,3173,5707251,5244104,463088,26520,189375
NR,DK,Nauru,Denmark,0,5707251,5244104,463088,26520,189375
NZ,DK,New Zealand,Denmark,523,5707251,5244104,463088,26520,189375
OM,DK,Oman,Denmark,1,5707251,5244104,463088,26520,189375
PA,DK,Panama,Denmark,47,5707251,5244104,463088,26520,189375
PE,DK,Peru,Denmark,541,5707251,5244104,463088,26520,189375
PF,DK,French Polynesia (FR),Denmark,0,5707251,5244104,463088,26520,189375
PG,DK,Papua New Guinea,Denmark,3,5707251,5244104,463088,26520,189375
PH,DK,Philippines,Denmark,8473,5707251,5244104,463088,26520,189375
PK,DK,Pakistan,Denmark,10132,5707251,5244104,463088,26520,189375
PL,DK,Poland,Denmark,35323,5707251,5244104,463088,26520,189375
PM,DK,Saint Pierre and Miquelon (FR),Denmark,0,5707251,5244104,463088,26520,189375
PN,DK,Pitcairn Islands (UK),Denmark,0,5707251,5244104,463088,26520,189375
PS,DK,Palestine,Denmark,0,5707251,5244104,463088,26520,189375
PT,DK,Portugal,Denmark,2780,5707251,5244104,463088,26520,189375
PW,DK,Palau,Denmark,0,5707251,5244104,463088,26520,189375
PY,DK,Paraguay,Denmark,38,5707251,5244104,463088,26520,189375
QA,DK,Qatar,Denmark,7,5707251,5244104,463088,26520,189375
RO,DK,Romania,Denmark,22409,5707251,5244104,463088,26520,189375
RS,DK,Serbia,Denmark,1803,5707251,5244104,463088,26520,189375
RU,DK,Russia,Denmark,5074,5707251,5244104,463088,26520,189375
RW,DK,Rwanda,Denmark,257,5707251,5244104,463088,26520,189375
SA,DK,Saudi Arabia,Denmark,23,5707251,5244104,463088,26520,189375
SB,DK,Solomon Islands,Denmark,3,5707251,5244104,463088,26520,189375
SC,DK,Seychelles,Denmark,11,5707251,5244104,463088,26520,189375
SD,DK,Sudan,Denmark,756,5707251,5244104,463088,26520,189375
SE,DK,Sweden,Denmark,14852,5707251,5244104,463088,26520,189375
SG,DK,Singapore,Denmark,375,5707251,5244104,463088,26520,189375
SH,DK,"Saint Helena, Ascension and Tristan da Cunha (UK)",Denmark,0,5707251,5244104,463088,26520,189375
SI,DK,Slovenia,Denmark,394,5707251,5244104,463088,26520,189375
SK,DK,Slovakia,Denmark,2401,5707251,5244104,463088,26520,189375
SL,DK,Sierra Leone,Denmark,218,5707251,5244104,463088,26520,189375
SM,DK,San Marino,Denmark,2,5707251,5244104,463088,26520,189375
SN,DK,Senegal,Denmark,112,5707251,5244104,463088,26520,189375
SO,DK,Somalia,Denmark,9593,5707251,5244104,463088,26520,189375
SR,DK,Suriname,Denmark,2,5707251,5244104,463088,26520,189375
SS,DK,South Sudan,Denmark,11,5707251,5244104,463088,26520,189375
ST,DK,São Tomé and Príncipe,Denmark,0,5707251,5244104,463088,26520,189375
SV,DK,El Salvador,Denmark,32,5707251,5244104,463088,26520,189375
SX,DK,Sint Maarten,Denmark,0,5707251,5244104,463088,26520,189375
SY,DK,Syria,Denmark,21553,5707251,5244104,463088,26520,189375
SZ,DK,Swaziland,Denmark,10,5707251,5244104,463088,26520,189375
TC,DK,Turks and Caicos Islands (UK),Denmark,0,5707251,5244104,463088,26520,189375
TD,DK,Chad,Denmark,13,5707251,5244104,463088,26520,189375
TG,DK,Togo,Denmark,87,5707251,5244104,463088,26520,189375
TH,DK,Thailand,Denmark,9818,5707251,5244104,463088,26520,189375
TJ,DK,Tajikistan,Denmark,19,5707251,5244104,463088,26520,189375
TL,DK,Timor-Leste,Denmark,0,5707251,5244104,463088,26520,189375
TM,DK,Turkmenistan,Denmark,14,5707251,5244104,463088,26520,189375
TN,DK,Tunisia,Denmark,533,5707251,5244104,463088,26520,189375
TO,DK,Tonga,Denmark,4,5707251,5244104,463088,26520,189375
TR,DK,Turkey,Denmark,28832,5707251,5244104,463088,26520,189375
TT,DK,Trinidad and Tobago,Denmark,65,5707251,5244104,463088,26520,189375
TV,DK,Tuvalu,Denmark,1,5707251,5244104,463088,26520,189375
TW,DK,Taiwan,Denmark,213,5707251,5244104,463088,26520,189375
TZ,DK,Tanzania,Denmark,447,5707251,5244104,463088,26520,189375
UA,DK,Ukraine,Denmark,8584,5707251,5244104,463088,26520,189375
UG,DK,Uganda,Denmark,916,5707251,5244104,463088,26520,189375
UK,DK,United Kingdom,Denmark,16738,5707251,5244104,463088,26520,189375
US,DK,United States,Denmark,8640,5707251,5244104,463088,26520,189375
UY,DK,Uruguay,Denmark,67,5707251,5244104,463088,26520,189375
UZ,DK,Uzbekistan,Denmark,282,5707251,5244104,463088,26520,189375
VA,DK,Vatican City State,Denmark,0,5707251,5244104,463088,26520,189375
VC,DK,Saint Vincent and the Grenadines,Denmark,1,5707251,5244104,463088,26520,189375
VE,DK,Venezuela,Denmark,319,5707251,5244104,463088,26520,189375
VG,DK,British Virgin Islands (UK),Denmark,0,5707251,5244104,463088,26520,189375
VN,DK,Vietnam,Denmark,4254,5707251,5244104,463088,26520,189375
VU,DK,Vanuatu,Denmark,0,5707251,5244104,463088,26520,189375
WF,DK,Wallis and Futuna (FR),Denmark,0,5707251,5244104,463088,26520,189375
WS,DK,Samoa,Denmark,8,5707251,5244104,463088,26520,189375
XK,DK,Kosovo (under United Nations Security Council Resolution 1244/99),Denmark,2640,5707251,5244104,463088,26520,189375
YE,DK,Yemen,Denmark,59,5707251,5244104,463088,26520,189375
ZA,DK,South Africa,Denmark,467,5707251,5244104,463088,26520,189375
ZM,DK,Zambia,Denmark,288,5707251,5244104,463088,26520,189375
ZW,DK,Zimbabwe,Denmark,132,5707251,5244104,463088,26520,189375
AD,EE,Andorra,Estonia,0,1315944,1117693,197638,235,15372
AE,EE,United Arab Emirates,Estonia,0,1315944,1117693,197638,235,15372
AF,EE,Afghanistan,Estonia,24,1315944,1117693,197638,235,15372
AG,EE,Antigua and Barbuda,Estonia,5,1315944,1117693,197638,235,15372
AI,EE,Anguilla (UK),Estonia,0,1315944,1117693,197638,235,15372
AL,EE,Albania,Estonia,23,1315944,1117693,197638,235,15372
AM,EE,Armenia,Estonia,251,1315944,1117693,197638,235,15372
AN,EE,Former Netherlands Antilles,Estonia,0,1315944,1117693,197638,235,15372
AO,EE,Angola,Estonia,1,1315944,1117693,197638,235,15372
AR,EE,Argentina,Estonia,17,1315944,1117693,197638,235,15372
AT,EE,Austria,Estonia,82,1315944,1117693,197638,235,15372
AU,EE,Australia,Estonia,50,1315944,1117693,197638,235,15372
AW,EE,Aruba (NL),Estonia,0,1315944,1117693,197638,235,15372
AZ,EE,Azerbaijan,Estonia,267,1315944,1117693,197638,235,15372
BA,EE,Bosnia and Herzegovina,Estonia,1,1315944,1117693,197638,235,15372
BB,EE,Barbados,Estonia,1,1315944,1117693,197638,235,15372
BD,EE,Bangladesh,Estonia,67,1315944,1117693,197638,235,15372
BE,EE,Belgium,Estonia,139,1315944,1117693,197638,235,15372
BF,EE,Burkina Faso,Estonia,0,1315944,1117693,197638,235,15372
BG,EE,Bulgaria,Estonia,278,1315944,1117693,197638,235,15372
BH,EE,Bahrain,Estonia,0,1315944,1117693,197638,235,15372
BI,EE,Burundi,Estonia,0,1315944,1117693,197638,235,15372
BJ,EE,Benin,Estonia,0,1315944,1117693,197638,235,15372
BL,EE,Saint-Barthélemy (FR),Estonia,0,1315944,1117693,197638,235,15372
BM,EE,Bermuda (UK),Estonia,0,1315944,1117693,197638,235,15372
BN,EE,Brunei Darussalam,Estonia,0,1315944,1117693,197638,235,15372
BO,EE,Bolivia,Estonia,1,1315944,1117693,197638,235,15372
BQ,EE,"Bonaire, Saint Eustatius and Saba",Estonia,0,1315944,1117693,197638,235,15372
BR,EE,Brazil,Estonia,75,1315944,1117693,197638,235,15372
BS,EE,Bahamas,Estonia,0,1315944,1117693,197638,235,15372
BT,EE,Bhutan,Estonia,1,1315944,1117693,197638,235,15372
BW,EE,Botswana,Estonia,0,1315944,1117693,197638,235,15372
BY,EE,Belarus,Estonia,1599,1315944,1117693,197638,235,15372
BZ,EE,Belize,Estonia,0,1315944,1117693,197638,235,15372
CA,EE,Canada,Estonia,69,1315944,1117693,197638,235,15372
CD,EE,Democratic Republic of the Congo,Estonia,3,1315944,1117693,197638,235,15372
CF,EE,Central African Republic,Estonia,0,1315944,1117693,197638,235,15372
CG,EE,Congo,Estonia,2,1315944,1117693,197638,235,15372
CH,EE,Switzerland,Estonia,54,1315944,1117693,197638,235,15372
CI,EE,Côte d'Ivoire,Estonia,4,1315944,1117693,197638,235,15372
CL,EE,Chile,Estonia,11,1315944,1117693,197638,235,15372
CM,EE,Cameroon,Estonia,26,1315944,1117693,197638,235,15372
CN,EE,China (including Hong Kong),Estonia,289,1315944,1117693,197638,235,15372
CO,EE,Colombia,Estonia,34,1315944,1117693,197638,235,15372
CR,EE,Costa Rica,Estonia,4,1315944,1117693,197638,235,15372
CU,EE,Cuba,Estonia,3,1315944,1117693,197638,235,15372
CV,EE,Cape Verde,Estonia,0,1315944,1117693,197638,235,15372
CW,EE,Curaçao,Estonia,0,1315944,1117693,197638,235,15372
CY,EE,Cyprus,Estonia,9,1315944,1117693,197638,235,15372
CZ,EE,Czech Republic,Estonia,180,1315944,1117693,197638,235,15372
DE,EE,Germany (until 1990 former territory of the FRG),Estonia,1302,1315944,1117693,197638,235,15372
DJ,EE,Djibouti,Estonia,0,1315944,1117693,197638,235,15372
DK,EE,Denmark,Estonia,170,1315944,1117693,197638,235,15372
DM,EE,Dominica,Estonia,0,1315944,1117693,197638,235,15372
DO,EE,Dominican Republic,Estonia,5,1315944,1117693,197638,235,15372
DZ,EE,Algeria,Estonia,13,1315944,1117693,197638,235,15372
EC,EE,Ecuador,Estonia,9,1315944,1117693,197638,235,15372
EG,EE,Egypt,Estonia,92,1315944,1117693,197638,235,15372
EH,EE,Western Sahara,Estonia,0,1315944,1117693,197638,235,15372
EL,EE,Greece,Estonia,89,1315944,1117693,197638,235,15372
ER,EE,Eritrea,Estonia,0,1315944,1117693,197638,235,15372
ES,EE,Spain,Estonia,431,1315944,1117693,197638,235,15372
ET,EE,Ethiopia,Estonia,4,1315944,1117693,197638,235,15372
FI,EE,Finland,Estonia,3767,1315944,1117693,197638,235,15372
FJ,EE,Fiji,Estonia,0,1315944,1117693,197638,235,15372
FK,EE,Falkland Islands (UK),Estonia,0,1315944,1117693,197638,235,15372
FM,EE,Federated States of Micronesia,Estonia,0,1315944,1117693,197638,235,15372
FO,EE,Faroes (DK),Estonia,0,1315944,1117693,197638,235,15372
FR,EE,France,Estonia,535,1315944,1117693,197638,235,15372
GA,EE,Gabon,Estonia,0,1315944,1117693,197638,235,15372
GD,EE,Grenada,Estonia,0,1315944,1117693,197638,235,15372
GE,EE,Georgia,Estonia,392,1315944,1117693,197638,235,15372
GG,EE,Guernsey,Estonia,0,1315944,1117693,197638,235,15372
GH,EE,Ghana,Estonia,14,1315944,1117693,197638,235,15372
GI,EE,Gibraltar (UK),Estonia,0,1315944,1117693,197638,235,15372
GL,EE,Greenland (DK),Estonia,0,1315944,1117693,197638,235,15372
GM,EE,"Gambia, The",Estonia,1,1315944,1117693,197638,235,15372
GN,EE,Guinea,Estonia,1,1315944,1117693,197638,235,15372
GQ,EE,Equatorial Guinea,Estonia,0,1315944,1117693,197638,235,15372
GT,EE,Guatemala,Estonia,10,1315944,1117693,197638,235,15372
GW,EE,Guinea-Bissau,Estonia,0,1315944,1117693,197638,235,15372
GY,EE,Guyana,Estonia,1,1315944,1117693,197638,235,15372
HN,EE,Honduras,Estonia,1,1315944,1117693,197638,235,15372
HR,EE,Croatia,Estonia,42,1315944,1117693,197638,235,15372
HT,EE,Haiti,Estonia,0,1315944,1117693,197638,235,15372
HU,EE,Hungary,Estonia,173,1315944,1117693,197638,235,15372
ID,EE,Indonesia,Estonia,15,1315944,1117693,197638,235,15372
